name,website,contentPath,logo
BALJOB,https://baljob.com/,baljob.md,baljob.png
Fourth Valley Concierge Corporation,http://www.4th-valley.com/,fvc.md,fvc.png
Department of Modern Languages,https://www.cmu.edu/dietrich/modlang/,modlang.md,modlang.png
Tokyo Japanese Store,http://www.tokyostorepgh.com/en.html,tokyo.md,tokyo.png
The Quizno's Master LLC.,http://www.quiznos.com/Home.aspx,quiznos.md,quiznos.png
Chaya Japanese Cuisine,http://www.chayausa.com/,chaya.md,chaya.jpg
big Burrito Restaurant Group,http://www.bigburrito.com/,bigburrito.md,bigburrito.gif
Kiku Japanese Restaurant,http://www.kikupittsburgh.net/,kiku.md,kiku.jpg
Teppanyaki Kyoto Restaurant,http://teppanyakikyoto.com/,kyoto.md,kyoto.jpg
